RA - Decimal,Dec - Decimal,Mag V ,Red,Green,Blue,identifier             
245.2971488,-25.59279208,2.890,0.8000,0.8000,0.8000,* sig Sco                          
229.7274249,-68.67954593,2.890,0.6324,0.7081,1.0000,* gam TrA                          
239.7129718,-26.11410795,2.910,0.4701,0.5784,1.0000,* pi. Sco                          
46.19912809,53.50643576,2.930,0.8000,0.8000,0.8000,* gam Per                          
102.4840352,-50.61456769,2.930,1.0000,0.8221,0.6541,* tau Pup                          
59.50736229,-13.50851938,2.940,1.0000,0.6789,0.3823,* gam Eri                          
331.445983,0.319849102,2.940,1.0000,0.8929,0.8238,* alf Aqr                          
187.4660632,-16.51543126,2.940,0.6109,0.6919,1.0000,* del Crv                          
340.7505155,30.22111863,2.950,1.0000,0.8541,0.7277,* eta Peg                          
262.9603814,-49.87614501,2.950,0.4799,0.5868,1.0000,* alf Ara                          
100.9830261,25.13112541,2.980,1.0000,0.8541,0.7277,* eps Gem                          
146.4628054,23.77425579,2.980,0.8000,0.8000,0.8000,* eps Leo                          
182.5311691,-22.61976722,2.980,1.0000,0.7992,0.6045,* eps Crv                          
252.9675654,-38.04739873,2.980,0.4701,0.5784,1.0000,* mu.01 Sco                        
75.49220442,43.8232976,2.990,0.8520,0.8621,1.0000,* eps Aur                          
271.4520337,-30.42408985,2.990,1.0000,0.8330,0.6787,* gam02 Sgr                        
286.3525334,13.86347728,2.990,0.6109,0.6919,1.0000,* zet Aql                          
146.7755071,-65.07200742,2.990,0.8520,0.8621,1.0000,* ups Car                          
266.8961714,-40.12699704,2.992,0.8986,0.8925,1.0000,* iot01 Sco                        
95.07830017,-30.06336673,3.000,0.4799,0.5868,1.0000,* zet CMa                          
113.6504186,31.88849199,3.000,0.8000,0.8000,0.8000,* alf Gem B                        
32.38594633,34.98729706,3.000,0.7260,0.7762,1.0000,* bet Tri                          
199.7304049,-23.17151428,3.000,1.0000,0.8541,0.7277,* gam Hya                          
270.275,2.9,3.000,0.8000,0.8000,0.8000,Cl Melotte 186                     
230.1821502,71.83401654,3.002,0.6504,0.7215,1.0000,* gam UMi                          
55.73126773,47.78754851,3.010,0.5229,0.6225,1.0000,* del Per                          
167.4158695,44.49848668,3.010,1.0000,0.8221,0.6541,* psi UMa                          
328.4821925,-37.36485527,3.010,0.5496,0.6441,1.0000,* gam Gru                          
218.0194658,38.30825119,3.020,0.7652,0.8035,1.0000,* gam Boo                          
105.7561338,-23.83329231,3.020,0.5013,0.6047,1.0000,* omi02 CMa                        
84.41118926,21.14254411,3.030,0.4701,0.5784,1.0000,* zet Tau                          
155.582249,41.4995192,3.050,1.0000,0.6789,0.3823,* mu. UMa                          
258.6619091,14.39034061,3.060,0.8000,0.8000,0.8000,* alf Her                          
288.1387582,67.66154044,3.070,0.8000,0.8000,0.8000,* del Dra                          
254.6550507,-55.99014453,3.076,1.0000,0.7872,0.5797,* zet Ara                          
305.2527012,-14.78149406,3.080,0.8000,0.8000,0.8000,* bet01 Cap                        
292.6803355,27.95968008,3.080,1.0000,0.7872,0.5797,* bet01 Cyg                        
133.8484422,5.945565383,3.100,1.0000,0.8541,0.7277,* zet Hya                          
162.4062031,-16.19364889,3.110,1.0000,0.8221,0.6541,* nu. Hya                          
274.4068127,-36.7616852,3.110,1.0000,0.6480,0.3346,* eta Sgr                          
309.3918,-47.29150072,3.110,1.0000,0.8330,0.6787,* alf Ind                          
224.7903539,-42.10419637,3.110,0.4799,0.5868,1.0000,* kap Cen                          
87.7399675,-35.76830978,3.120,1.0000,0.8221,0.6541,* bet Col                          
258.7579608,24.83920697,3.130,0.6324,0.7081,1.0000,* del Her                          
134.8019155,48.04183153,3.130,0.7652,0.8035,1.0000,* iot UMa A                        
142.8054955,-57.03437716,3.139,1.0000,0.7360,0.4803,* N Vel                            
134.8018901,48.04182614,3.140,0.7353,0.7827,1.0000,* iot UMa                          
140.2637531,34.39256237,3.140,0.8000,0.8000,0.8000,* alf Lyn                          
281.4141088,-26.99077623,3.140,0.5496,0.6441,1.0000,* phi Sgr                          
173.9453295,-63.01983236,3.140,0.5750,0.6642,1.0000,* lam Cen                          
257.1966498,65.71468427,3.170,0.5340,0.6316,1.0000,* zet Dra                          
99.4402973,-43.19593338,3.170,0.5496,0.6441,1.0000,* nu. Pup                          
143.2143079,51.67730031,3.180,0.8000,0.8000,0.8000,* tet UMa                          
76.62872239,41.23447576,3.180,0.5013,0.6047,1.0000,* eta Aur                          
76.36527237,-22.37103441,3.180,1.0000,0.7750,0.5548,* eps Lep                          
258.7618098,36.80916232,3.180,1.0000,0.7872,0.5797,* pi. Her                          
44.56533008,-40.30467935,3.180,0.6703,0.7362,1.0000,* tet01 Eri                        
72.46004544,6.961274526,3.190,0.8000,0.8000,0.8000,* pi.03 Ori                        
220.6267483,-64.97513707,3.190,0.7652,0.8035,1.0000,* alf Cir                          
230.3430218,-40.64750617,3.190,0.4701,0.5784,1.0000,* del Lup                          
254.4170744,9.375031277,3.200,1.0000,0.7992,0.6045,* kap Oph                          
292.6803583,27.95967778,3.200,1.0000,0.7872,0.5797,* bet01 Cyg A                      
318.2341081,30.22691546,3.210,1.0000,0.8541,0.7277,* zet Cyg                          
267.4645034,-37.04330487,3.210,1.0000,0.7992,0.6045,* G Sco                            
226.017567,-25.28196129,3.210,1.0000,0.6480,0.3346,* sig Lib                          
302.8261887,0.821461845,3.220,0.5750,0.6642,1.0000,* tet Aql                          
322.1649869,70.56071519,3.230,0.4509,0.5617,1.0000,* bet Cep                          
244.5803739,-4.692509574,3.230,0.8000,0.8000,0.8000,* eps Oph                          
275.3275023,-2.898826832,3.250,1.0000,0.8330,0.6787,* eta Ser                          
284.7359267,32.68955564,3.250,0.5750,0.6642,1.0000,* gam Lyr                          
112.307627,-43.30143324,3.250,1.0000,0.7360,0.4803,* sig Pup                          
260.5024139,-24.99954638,3.260,0.8000,0.8000,0.8000,* tet Oph                          
257.59432,-15.7251822,3.260,0.6703,0.7362,1.0000,* eta Oph B                        
56.80975259,-74.2389635,3.260,1.0000,0.6480,0.3346,* gam Hyi                          
158.0060957,-61.68533231,3.270,0.5104,0.6122,1.0000,* p Car                            
139.1069401,-67.47656529,3.270,0.8000,0.8000,0.8000,ASAS J091626-6728.7                
93.71935536,22.50678733,3.280,1.0000,0.6480,0.3346,* eta Gem                          
343.6625476,-15.82079113,3.280,0.6703,0.7362,1.0000,* del Aqr                          
9.83197992,30.86102176,3.280,1.0000,0.7872,0.5797,* del And                          
211.5929062,-26.68236177,3.280,1.0000,0.7992,0.6045,* pi. Hya                          
68.49907163,-55.04497897,3.280,0.5496,0.6441,1.0000,* alf Dor                          
231.2323943,58.96606512,3.290,1.0000,0.7992,0.6045,* iot Dra                          
78.2329383,-16.20545938,3.290,0.5750,0.6642,1.0000,* mu. Lep                          
117.3235653,-24.85978624,3.300,0.8000,0.8000,0.8000,* ksi Pup                          
102.0477297,-61.94138911,3.300,0.8244,0.8437,1.0000,* alf Pic                          
16.520998,-46.71841069,3.300,1.0000,0.8541,0.7277,* bet Phe                          
286.7350221,-27.67044706,3.310,1.0000,0.8221,0.6541,* tau Sgr                          
183.8565026,57.03261545,3.320,0.6504,0.7215,1.0000,* del UMa                          
258.0383152,-43.23919181,3.330,0.9937,0.9526,1.0000,* eta Sco                          
258.6618864,14.39037105,3.330,0.8000,0.8000,0.8000,* alf Her A                        
153.4342391,-70.03790453,3.330,0.5496,0.6441,1.0000,* ome Car                          
269.756633,-9.773633292,3.340,0.8000,0.8000,0.8000,* nu. Oph                          
261.3485805,-56.37772633,3.340,0.4701,0.5784,1.0000,* gam Ara                          
332.7136538,58.20126266,3.350,1.0000,0.8221,0.6541,* zet Cep                          
81.11923633,-2.397147528,3.350,0.4701,0.5784,1.0000,* eta Ori                          
168.5600186,15.42957058,3.350,0.6504,0.7215,1.0000,* tet Leo                          
154.2707304,-61.33230231,3.350,1.0000,0.7992,0.6045,* q Car                            
101.3223513,12.89559198,3.360,0.9937,0.9526,1.0000,* ksi Gem                          
291.3745891,3.114779472,3.360,0.8823,0.8819,1.0000,* del Aql                          
63.60618391,-62.4738588,3.360,1.0000,0.8541,0.7277,* alf Ret                          
230.6702844,-44.68961518,3.366,0.4799,0.5868,1.0000,* eps Lup                          
28.59885907,63.67010339,3.370,0.5013,0.6047,1.0000,* eps Cas                          
131.693801,6.418801528,3.380,0.8000,0.8000,0.8000,* eps Hya                          
193.9008692,3.39747034,3.380,1.0000,0.6318,0.3112,* del Vir                          
203.6733057,0.595836018,3.380,0.6504,0.7215,1.0000,* zet Vir                          
207.3761518,-41.68770891,3.386,0.4799,0.5868,1.0000,* nu. Cen                          
46.29414104,38.84027619,3.390,1.0000,0.6318,0.3112,* rho Per                          
253.875,-40.83333333,3.400,0.8000,0.8000,0.8000,C 1652-407                         
253.725,-40.73333333,3.400,0.8000,0.8000,0.8000,[SC96] Mis 190                     
137.7420266,-58.96689367,3.400,0.4799,0.5868,1.0000,* a Car                            
146.3117134,-62.5079033,3.400,1.0000,0.8740,0.7760,* l Car                            
311.2395583,-66.2032141,3.408,0.7652,0.8035,1.0000,* bet Pav                          
311.3223981,61.83878243,3.410,1.0000,0.8330,0.6787,* eta Cep                          
60.17006549,12.49034054,3.410,0.5104,0.6122,1.0000,* lam Tau                          
67.16560228,15.87086739,3.410,0.7652,0.8035,1.0000,* tet02 Tau                        
340.365503,10.83136331,3.410,0.5496,0.6441,1.0000,* 42 Peg                           
151.8331328,16.76266119,3.410,0.6109,0.6919,1.0000,* eta Leo                          
154.1725665,23.41731169,3.410,0.8668,0.8718,1.0000,* zet Leo                          
240.0305327,-38.39670868,3.410,0.4799,0.5868,1.0000,* eta Lup                          
22.09136361,-43.31823616,3.410,1.0000,0.6789,0.3823,* gam Phe                          
228.0712331,-52.09924775,3.410,1.0000,0.8541,0.7277,* zet Lup                          
127.5661277,60.71816986,3.420,1.0000,0.8740,0.7760,* omi UMa                          
28.27044623,29.5788278,3.420,0.9937,0.9526,1.0000,* alf Tri                          
266.6146945,27.72067722,3.420,1.0000,0.8740,0.7760,* mu.01 Her                        
282.5199802,33.36266944,3.420,0.5496,0.6441,1.0000,* bet Lyr                          
286.5622488,-4.882564305,3.430,0.5496,0.6441,1.0000,* lam Aql                          
207.4041193,-42.47373044,3.430,0.4799,0.5868,1.0000,* mu. Cen                          
119.1946801,-52.98233176,3.431,0.5013,0.6047,1.0000,* chi Car                          
12.27621132,57.81518771,3.440,0.8000,0.8000,0.8000,* eta Cas                          
10.68470833,41.26875,3.440,0.8000,0.8000,0.8000,M 31                               
190.415099,-1.449394953,3.440,0.8823,0.8819,1.0000,* gam Vir A                        
154.2740569,42.91437949,3.450,0.6324,0.7081,1.0000,* lam UMa                          
17.14746451,-10.18226582,3.450,1.0000,0.7992,0.6045,* eta Cet                          
149.2155903,-54.56778862,3.450,0.5229,0.6225,1.0000,* phi Vel                          
276.7434002,-45.96845827,3.463,0.5013,0.6047,1.0000,* alf Tel                          
342.1387429,-51.31687005,3.466,0.6504,0.7215,1.0000,* eps Gru                          
83.78449689,9.934154265,3.470,0.8000,0.8000,0.8000,* lam Ori A                        
105.4297824,-27.93483049,3.470,1.0000,0.7360,0.4803,* sig CMa                          
40.82516292,3.235816389,3.470,0.6504,0.7215,1.0000,* gam Cet                          
299.6892859,19.49214669,3.470,1.0000,0.6789,0.3823,* gam Sge                          
342.5008048,24.60158288,3.480,1.0000,0.8541,0.7277,* mu. Peg                          
233.7851616,-41.16679195,3.480,0.8000,0.8000,0.8000,* gam Lup A                        
169.619736,33.09430853,3.490,1.0000,0.7872,0.5797,* nu. UMa                          
190.4147608,-1.449402127,3.490,0.8668,0.8718,1.0000,* gam Vir B                        
228.875679,33.31483127,3.490,1.0000,0.8541,0.7277,* del Boo                          
26.01701426,-15.9374796,3.500,1.0000,0.8541,0.7277,* tau Cet                          
250.7240212,38.92225357,3.500,0.8000,0.8000,0.8000,* eta Her                          
284.4324962,-21.10665591,3.510,1.0000,0.8541,0.7277,* ksi02 Sgr                        
233.7849104,-41.16676775,3.510,0.8000,0.8000,0.8000,* gam Lup B                        
264.396666,-15.39855387,3.519,0.8520,0.8621,1.0000,* ksi Ser                          
225.4865099,40.39056684,3.520,1.0000,0.8541,0.7277,* bet Boo                          
124.1288375,9.185543868,3.520,1.0000,0.7750,0.5548,* bet Cnc                          
145.2876377,9.892308384,3.520,1.0000,0.9276,0.9168,* omi Leo                          
86.73892066,-14.82194998,3.525,0.6504,0.7215,1.0000,* zet Lep                          
214.8509258,-46.05809546,3.529,0.4799,0.5868,1.0000,* iot Lup                          
67.15416174,19.18042906,3.530,0.8000,0.8000,0.8000,* eps Tau                          
110.0307491,21.98231604,3.530,0.8986,0.8925,1.0000,* del Gem                          
237.405029,-3.430204389,3.530,0.5750,0.6642,1.0000,* mu. Ser                          
342.4200706,66.20040656,3.540,1.0000,0.8330,0.6787,* iot Cep                          
55.81208699,-9.763391234,3.540,1.0000,0.8330,0.6787,* del Eri                          
173.2504794,-31.85762318,3.540,0.8000,0.8000,0.8000,* ksi Hya                          
40.82517159,3.235824146,3.540,0.6504,0.7215,1.0000,* gam Cet A                        
253.0839388,-38.01753496,3.542,0.4799,0.5868,1.0000,* mu.02 Sco                        
230.4515403,-36.26137569,3.546,1.0000,0.7750,0.5548,* phi01 Lup                        
